NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,BOOL_NOUN,BOOL_VERB,BOOL_ADV,BOOL_ADJ,BOOL_CCONJ,LABEL,TEXT
72,38,36,18,12,0,2,8,5,1,1,1,1,1,neutre,"Hello,  Au cas où tu n’as plus mal à la tête, t’inquiète pas, j’ai trouvé un bug qui fera revenir la douleur.  Je viens de trouver un bug important dans le script qui nettoie les treebanks concantenés, pour qu’on ait des nombres de tokens comparable dans les deux langues. En fait le script ne trouvait pas les phrases qui étaient en dessous de la limite inférieure, mais trouvait bien les phrases plus longues que la limite supérieure.  Je ne sais pas si tu te rappelles mais en gros si par exemple on donne au script un treebank concantené avec 1000 phrases écrites et 1000 phrases orales, il calcule the interquartile range pour le nombre de tokens. Il élimine ensuite disons toutes les phrases qui ont moins de 5 tokens et plus de 50. On finit donc avec 700 phrases écrites et 800 phrases orales disons. Le script donc revient au treebanks non concantenés et cherche 300 phrases a l’écrit et 200 phrases a l’oral, dont les longueurs sont dans le iqr calculé avant, pour finir avec 1000 phrases de chaque côté.  Du coup maintenant le script élimine bien plus de phrases, particulièrement dans l’oral-ecrit, parce qu’il y a plein des phrases tres courtes à l’oral. Tout va bien quand on veut 1000 phrases de chaque côté, mais si on veut 2000 on n’a pas assez de phrases dans le treebank oral avec un nombre de tokens dans l’IQR pour remplacer ce qu’on a supprimé, donc on finit avec 2000 phrases de l’écrit et 1477 phrases dans l’oral. Les longueurs seront comparables, mais bien évidemment le nombre de phrases ne l’est plus. Avec 2776 phrases, on a 2776 phrases écrites et 1252 de phrases orales (j’aurais dû me rendre compte qu’il serait impossible d’avoir le nombre total de phrases dans le treebank final!!!)  Donc, dans ce cas, est-ce qu’on fait des experiences avec moins de phrases pour l’oral écrit? Est-ce que c’est preferable d’avoir plus de phrases mais des longueurs pas normalisés?  Laezel"
36,10,5,16,9,0,0,6,3,1,1,1,1,1,tristesse,"Chères et chers collègues,   J'ai la grande tristesse de vous annoncer le décès de Laezel Élu maître de conférences en 1972 à la Sorbonne Nouvelle, il y est devenu professeur des universités en 1978. Il y a enseigné la littérature anglaise moderne et contemporaine jusqu'à sa retraite en 2000 et a été également président du jury de l'agrégation d'anglais de 1987 à 1991. Spécialiste internationalement reconnu de poésie britannique, en particulier de Robert BrowLaezelt et des poèteLaezel du XXe siècle, il a publié de nombreux articles et ouvrages dans ce domaine. Il a notamment préfacé et co-dirigé une Anthologie bilingue de la poésie anglaise de référence, dans la Bibliothèque de la Pléiade. Sa passion pour la transmission et la pédagogie a marqué plusieurs générations d'étudiants et de collègues.   Au nom de toute la communauté de la Sorbonne Nouvelle, j'adresse mes sincères condoléances à sa famille et à ses proches.   Très cordialement"
35,9,8,14,8,0,1,7,3,1,1,1,1,1,tristesse,"Chères et chers collègues,  J'ai la grande tristesse de vous annoncer le décès de Laezel survenu le 27 août dernier. Serge Laezelenseignant au sein du département de Médiation culturelle depuis 2004.   Durant sa carrière, il a enseigné à l'Université Paris 8 Vincennes - Saint-Denis, à l'IRTS Paris Île-de-France, à Sciences Po Paris avant de nous rejoindre en 2004 en tant que chargé de cours, puis depuis 2012 en tant que PAST. Il travaillait également depuis 2004 pour l'association ""Cultures du Coeur"" en tant que concepteur et responsable de la formation nationale à la médiation culturelle. En 2012, il a publié l’ouvrage ""Et si on partageait la culture ? Essai sur la médiation culturelle et le potentiel du spectateur"" aux Éditions de l’Attribut.  Par sa passion et son expérience professionnelle, Serge Saada Laezelpporté au département de Médiation culturelle et à la Sorbonne Nouvelle dans son ensemble.  Au nom de toute la communauté de la Sorbonne Nouvelle, j'adresse mes sincères condoléances à sa famille et à ses proches.    Très cordialement,"
28,9,5,20,7,0,0,8,2,1,1,1,1,1,tristesse,"Chères et chers collègues,   J’ai la grande tristesse de vous annoncer le décès de Laezel survenu le 8 août dernier. Stéphane WitkLaezelconseil de gestion de l’Institut des Hautes Études de l’Amérique Latine de 2000 à 2023.  Grand connaisseur de l’Amérique latine, il avait un attachement particulier pour le Brésil, Cuba et le Venezuela. Tout au long de sa carrière, il a travaillé au renforcement des relations entre les entreprises françaises et latino-américaines. Il a été un conférencier reconnu. Stéphane Witkowski a grandLaezelaire de notre université un acteur incontournable de la coopération universitaire entre la France et l'Amérique latine. Les directeurs et directrices de l’IHEAL ont toujours pu compter sur sa présence active et bienveillante comme sur sa vision stratégique.   Au nom de toute la communauté de la Sorbonne Nouvelle, j'adresse mes sincères condoléances à sa famille et à ses proches.  Très cordialement,"
6,3,1,1,0,0,1,1,0,1,1,1,1,0,neutre,"Bonjour Madame, Je vous contacte afin de renouveler mon abonnement annuel aux cours de curling dispensés par votre centre. Quelle démarche dois-je entreprendre ? Merci."
53,22,14,15,6,0,0,11,1,1,1,1,1,1,neutre,"C'est noté. Je recontacte le service des diplômes dès que j'ai des nouvelles des procès-verbaux.**Bonjour Monsieur, la procédure à suivre est la suivante : - Vous devez premièrement remplir un bordereau de versement en indiquant le nombre de boîtes à verser et le contenu de ces dernières. Pour chaque boîte, veuillez indiquer les typologies majoritaires présentes ainsi que leurs dates extrêmes (date du document le plus ancien - date du document le plus récent). Aller dans le détail n'est pas nécessaire, essayez juste de rédiger une description qui nous permettrait de retrouver un document spécifique en cas de demande.  - Faites ensuite signer ce bordereau à votre responsable et renvoyez le à la liste générique du service des archives.  - Nous validerons ce dernier et vous proposerons une date de collecte. Veillez également à prévoir une version papier et signée (manuscrite) du bordereau afin que ce dernier soit récupéré au moment de la collecte. Il sera ensuite signé par la responsable du service des archives et vous sera renvoyé sous peu. Ce bordereau agira comme preuve du versement et vous aidera dans d'éventuelles futures demandes de communication. Je vous joins un bordereau du service financier actuellement en cours de classement, vous pouvez vous en inspirer pour l'organisation du votre. Je reste à votre disposition pour d'éventuelles interrogations. Bien à vous,"
9,8,4,1,1,1,0,3,3,1,1,1,1,1,joie,Ça s'est super bien passé ! On a évoqué les soucis au niveau de l'absence de documentation concernant les procédures d'habilitation et plein d'autres problèmes que j'ai pu relevés. Je te donnerai des nouvelles quand tu reviens. TU AS DE QUOI ÊTRE FIÈRE LÀ
13,9,8,2,0,0,1,1,3,1,1,1,1,0,tristesse,"Bonjour, J'ai utilisé une machine kumo à la cafétéria crous de la sorbonne nouvelle, les bento au poulet étaient notés disponibles sur l'écran j'en ai donc commandé un. Seulement il n'y en avait plus dans la machine. J'ai été débitée de 6euros sans avoir rien reçu... Quelle procédure dois-je suivre pour être remboursée ? Je ne peux malheureusement pas juste ignorer ce paiement avec ma situation d'étudiante."
8,5,4,0,2,0,0,1,4,1,1,1,0,1,tristesse,"Hello Pierre, je suis désolée mais je ne pourrais pas être là à la répétition de mercredi. Je suis vraiment surchargée avec les cours et j'ai à peine regardé les grilles. Je vais écrire un message sur le groupe whatsapps pour prévenir les autres."
10,14,7,0,2,0,0,1,2,1,1,1,0,1,colère,"Julien, je peux pas parler sur mon téléphone vu qu'il est cassé, j'en peux plus, du coup j'écris des mails oui ON EN EST LÀ. Jte jure j'étais à Saint-Denis et il s'est éteint mais vu que le bouton marche plus LaezelÉTEINT À JAMAIS. Je vais cabler mdrrr. Tout à l'heure rendez-vous 19h30 à la mairie si t'es pas là JE TE PÈTE LES GENOUX."
2,2,4,2,0,1,0,3,0,1,1,1,1,0,surprise_pos,"Oh génial, je ne pensais pas que nous pourrions revenir aussi tôt, merci pour l'information. Bonne semaine à tous !"
0,3,1,2,0,2,0,1,0,0,1,1,1,0,surprise_pos,"Incroyable !!! TU VOIS ! Je savais que t'allais l'avoir, je suis trop contente pour toi !"
7,6,6,5,3,0,0,7,1,1,1,1,1,1,surprise_pos,"Ah oui, en fait je m'attendais pas à ça mais je trouve que ça rend vachement bien, j'imaginais un résumé rapide mais tu nous as vraiment fait un roman. Trop bien, mais en vrai la prochaine fois je suis chaud pour le faire à ta place, comme ça on a un bel historique de nos parties"
8,10,4,0,0,0,3,2,3,1,1,1,0,0,surprise_neg,"Bonjour, Je donne suite au mail que je viens de vous envoyer. Je  viens de recevoir un courriel m'indiquant que ma candidature avait été refusée. Quel courriel dois-je croire ? S'agit-il d'une erreur ? Ai-je fait la formation alors que j'avais été refusée ? Je ne comprends pas cette situation. Merci beaucoup,"
5,3,4,0,0,0,0,0,0,1,1,1,0,0,surprise_neg,J'avoue ne pas comprendre le ton utilisé dans votre mail de réponse à ma demande. Je n'avais pas été averti de la procédure à suivre.
17,10,5,5,0,0,0,2,2,1,1,1,1,0,surprise_neg,"Bonjour Laezel les demandes du patrimoine sont toujours traitées dans un délai inférieur à une semaine malgré la charge de travail conséquente qu'elles engendrent. Les demandes, souvent peu précises, mobilisent généralement l'ensemble de l'équipe pendant plusieurs heures consécutives. Votre courriel, bien que pris en compte, nous semble ignorer ce travail collaboratif commencé il y a de cela plusieurs mois. Nous reviendrons vers vous dès que l'ensemble des documents demandés aura été retrouvé."
5,3,1,2,1,1,0,4,0,1,1,1,1,1,joie,"Bonsoir Djéna, Laezelm'a dit que lire ma khôlle de scénario t'intéresserait et je serais quant à moi ravie d'en avoir un retour si cela te convient ! Passe une bonne soirée :) LouiLaezel"
5,2,3,1,1,0,0,2,1,1,1,1,1,1,surprise_neg,Je vous transfère un mail de Mr Hareng et a priori on est encore dans la merde avec la fac… Bonne chance quand même 😉
0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutre,🙃
0,0,0,0,0,0,0,0,0,0,0,0,0,0,joie,😝
0,0,0,0,0,0,0,0,0,0,0,0,0,0,tristesse,🥲
0,0,0,0,0,0,0,0,0,0,0,0,0,0,colère,😤
0,0,0,0,0,0,0,0,0,0,0,0,0,0,surprise_pos,😵
0,0,0,0,0,0,0,0,0,0,0,0,0,0,surprise_neg,😦
2,2,0,1,0,0,0,0,1,1,1,0,1,0,neutre,"Bonjour, Absente jusqu'au 10 mai 2024 inclus, je vous répondrai à mon retour. Cordialement,"
2,0,1,1,0,1,0,2,0,1,0,1,1,0,joie,"Merci beaucoup madame ! Bonne journée à vous,"
8,4,3,1,0,0,0,3,2,1,1,1,1,0,tristesse,"Cher.e.s collègues, Cher.e.s étudiant.e.s, J’ai le regret de vous confirmer que, sur recommandation du Rectorat de Paris, la “Dernière fête à Censier”, qui devait avoir lieu demain, est annulée. Bien cordialement,"
2,1,4,1,0,0,3,3,0,1,1,1,1,0,colère,Bonjour Madame Pourquoi les Laezeln'ont rien reçu ? Est-ce à moi de les envoyer ? Merci de me dire le plus rapidement possible svp ?  Merci
2,0,1,1,0,1,0,3,0,1,0,1,1,0,surprise_pos,"D'accord, merci beaucoup ! Bonne journée à vous,"
2,3,5,0,1,0,0,1,0,1,1,1,0,1,surprise_neg,"Merci pour votre réponse, néanmoins je ne comprends pas pourquoi contacter le BET puisqu'il s'agit d'un cours dépendant de Nanterre et non du BET de P3..."
16,6,1,2,1,0,0,7,1,1,1,1,1,1,neutre,"À ce jour, certains documents devant être collectés par vos donneurs d’ordres sur la plateforme e-Attestations sont manquants ou expirés. Veuillez renseigner les documents suivants :  Pour l’établissement ..... :  Attestation de vigilance (6 mois) Donneur d’ordres concerné : ACOLAD  Connectez-vous à votre compte e-Attestations https://declarants.e-attestations.com/EAttestationsFO afin de mettre à jour vos dossiers.   Cordialement, L'équipe e-Attestations"
19,6,5,5,0,0,0,6,2,1,1,1,1,0,neutre,"Bonjour,  Vous êtes auto-entrepreneur, vous avez l'obligation de déclarer pour le 3ème Trimestre 2024 votre chiffre d'affaires, même lorsque ce montant est nul. Si votre chiffre d'affaires est supérieur à zéro, vous devez également payer les cotisations correspondantes.  Nous vous invitons à vous connecter à votre service en ligne avant le 31/10/2024 23:59.  Merci de ne pas tenir compte de ce message si vous avez déjà effectué ces formalités.  Nous vous remercions de votre confiance.  Cordialement  Pour toute information, nous vous invitons à vous rapprocher de votre interlocuteur habituel au 3698"
7,3,0,1,1,0,0,1,0,1,1,0,1,1,joie,"J’ai trouvé ce poème en cherchant à récupérer des transcriptions d’émissions de radio. Ça parle de fruits et du jardin à l’automne, c’est chouette."
1,0,0,2,1,1,0,2,1,1,0,0,1,1,joie,"C’est simple et beau, bisous !"
2,2,1,3,1,3,0,2,0,1,1,1,1,1,joie,Il est déjà Laezel! J’adore et je suis pressée de le voir en vrai 😃 !! Gros bisous maman
